iter	RMSE
0	11286.3125
1	10862.14793
2	10466.78828
3	10086.69817
4	9764.781425
5	9418.463107
6	9107.160753
7	8815.1126
8	8536.047315
9	8275.049075
10	8041.435617
11	7812.636231
12	7582.20882
13	7375.43542
14	7214.243088
15	7025.564473
16	6849.61276
17	6707.13347
18	6541.714339
19	6395.156153
20	6263.340961
21	6137.379544
22	6026.999069
23	5917.168291
24	5821.883172
25	5725.269296
26	5637.473094
27	5563.272117
28	5488.352466
29	5410.637964
30	5357.716292
31	5300.213732
32	5254.93488
33	5201.198357
34	5151.316138
35	5098.296812
36	5059.591739
37	5036.71513
38	5000.846266
39	4969.484446
40	4931.382661
41	4907.21076
42	4875.566999
43	4852.152536
44	4829.947366
45	4805.839983
46	4783.206603
47	4762.474898
48	4742.19746
49	4733.16888
50	4715.278404
51	4696.232883
52	4682.884843
53	4665.660302
54	4650.750517
55	4643.895286
56	4633.531033
57	4619.465873
58	4609.504364
59	4597.593881
60	4589.31201
61	4578.578448
62	4567.343189
63	4561.02232
64	4554.642726
65	4544.675116
66	4537.229782
67	4526.91941
68	4519.528947
69	4510.815135
70	4508.223755
71	4504.132848
72	4499.079003
73	4494.234017
74	4491.981257
75	4484.557196
76	4478.181471
77	4471.493462
78	4465.892193
79	4461.492259
80	4460.058943
81	4457.846002
82	4454.42908
83	4450.659304
84	4448.279315
85	4445.824675
86	4444.392195
87	4443.425674
88	4441.887637
89	4440.566122
90	4440.006063
91	4438.135244
92	4436.75029
93	4435.704088
94	4434.342256
95	4431.437994
96	4428.968342
97	4426.824687
98	4425.074786
99	4422.900474
100	4420.69516
101	4417.688471
102	4414.835928
103	4414.534618
104	4411.290912
105	4408.784957
106	4402.818151
107	4401.111788
108	4399.445443
109	4396.528118
110	4393.166725
111	4392.56784
112	4392.555398
113	4389.419289
114	4386.117958
115	4386.112125
116	4383.322089
117	4382.540559
118	4381.424909
119	4380.929962
120	4380.882393
121	4380.463336
122	4379.906485
123	4377.037162
124	4375.120698
125	4373.826446
126	4372.519616
127	4371.978939
128	4370.81683
129	4369.63128
130	4368.473696
131	4367.135549
132	4366.830024
133	4365.54298
134	4365.466397
135	4365.309908
136	4364.661404
137	4362.182162
138	4362.076803
139	4360.784449
140	4358.715599
141	4356.361144
142	4354.572069
143	4353.892585
144	4353.175559
145	4349.15699
146	4349.153026
147	4349.130904
148	4344.229688
149	4343.322659
150	4343.214279
151	4342.342148
152	4341.733911
153	4341.369096
154	4339.926609
155	4339.769157
156	4335.522152
157	4335.056641
158	4335.053029
159	4332.953917
160	4331.69628
161	4331.692914
162	4331.14816
163	4329.693907
164	4329.690714
165	4328.472589
166	4326.364478
167	4325.941281
168	4321.905206
169	4320.121183
170	4320.118131
171	4319.144323
172	4315.568711
173	4315.564313
174	4315.06047
175	4315.040602
176	4315.037839
177	4313.870392
178	4312.161274
179	4311.746807
180	4311.423107
181	4310.253627
182	4309.403177
183	4309.129546
184	4305.323508
185	4305.246057
186	4303.922183
187	4303.70035
188	4303.035563
189	4301.759195
190	4300.942231
191	4300.932913
192	4298.98942
193	4298.190705
194	4298.188413
195	4297.941988
196	4297.23362
197	4296.633493
198	4295.642911
199	4294.754034
