iter	Passed	Remaining
0	27	5413
1	50	5043
2	75	4976
3	101	4958
4	123	4816
5	145	4695
6	180	4979
7	209	5030
8	242	5143
9	265	5037
10	292	5028
11	320	5014
12	343	4935
13	368	4900
14	399	4925
15	431	4966
16	456	4916
17	475	4807
18	503	4792
19	529	4768
20	555	4733
21	584	4725
22	609	4688
23	641	4707
24	665	4660
25	693	4640
26	720	4618
27	747	4591
28	775	4571
29	803	4550
30	836	4559
31	859	4511
32	885	4480
33	913	4460
34	937	4418
35	966	4402
36	994	4380
37	1013	4321
38	1039	4291
39	1065	4263
40	1088	4222
41	1113	4190
42	1135	4145
43	1165	4130
44	1188	4092
45	1211	4056
46	1236	4024
47	1263	4000
48	1295	3992
49	1313	3939
50	1338	3911
51	1363	3881
52	1387	3847
53	1416	3830
54	1439	3794
55	1468	3776
56	1537	3857
57	1572	3851
58	1612	3853
59	1643	3835
60	1685	3841
61	1711	3810
62	1741	3787
63	1770	3763
64	1790	3718
65	1813	3682
66	1839	3652
67	1867	3624
68	1890	3588
69	1907	3543
70	1928	3503
71	1943	3455
72	1966	3421
73	1992	3393
74	2018	3364
75	2044	3335
76	2073	3312
77	2102	3288
78	2139	3276
79	2164	3246
80	2181	3205
81	2210	3180
82	2231	3145
83	2258	3118
84	2281	3087
85	2301	3051
86	2329	3025
87	2351	2993
88	2367	2952
89	2391	2923
90	2414	2891
91	2428	2851
92	2449	2818
93	2474	2790
94	2500	2763
95	2536	2748
96	2578	2737
97	2619	2726
98	2643	2697
99	2673	2673
100	2696	2642
101	2722	2615
102	2742	2582
103	2760	2547
104	2777	2513
105	2798	2482
106	2814	2446
107	2832	2413
108	2852	2381
109	2873	2351
110	2894	2320
111	2919	2293
112	2938	2262
113	2963	2235
114	2992	2211
115	3004	2175
116	3031	2150
117	3051	2120
118	3082	2098
119	3101	2067
120	3120	2037
121	3134	2004
122	3152	1973
123	3168	1942
124	3189	1913
125	3209	1884
126	3231	1857
127	3252	1829
128	3279	1804
129	3299	1776
130	3327	1752
131	3348	1725
132	3364	1694
133	3384	1667
134	3401	1637
135	3417	1608
136	3437	1580
137	3472	1560
138	3497	1534
139	3529	1512
140	3557	1488
141	3588	1465
142	3613	1440
143	3630	1411
144	3662	1389
145	3685	1363
146	3697	1332
147	3723	1308
148	3747	1282
149	3769	1256
150	3792	1230
151	3809	1203
152	3827	1175
153	3849	1149
154	3867	1122
155	3884	1095
156	3903	1069
157	3922	1042
158	3932	1013
159	3949	987
160	3966	960
161	3978	933
162	3997	907
163	4014	881
164	4024	853
165	4066	832
166	4091	808
167	4125	785
168	4154	762
169	4182	738
170	4191	710
171	4208	685
172	4224	659
173	4247	634
174	4265	609
175	4280	583
176	4310	560
177	4338	536
178	4360	511
179	4388	487
180	4408	462
181	4437	438
182	4464	414
183	4494	390
184	4521	366
185	4547	342
186	4574	318
187	4597	293
188	4625	269
189	4653	244
190	4678	220
191	4701	195
192	4722	171
193	4744	146
194	4754	121
195	4784	97
196	4806	73
197	4831	48
198	4858	24
199	4881	0
